A/5 21171	3		1
PC 17599	1	C85	2
STON/O2. 3101282	3		3
113803	1	C123	4
373450	3		5
330877	3		6
17463	1	E46	7
349909	3		8
347742	3		9
237736	2		10
PP 9549	3	G6	11
113783	1	C103	12
A/5. 2151	3		13
347082	3		14
350406	3		15
248706	2		16
382652	3		17
244373	2		18
345763	3		19
2649	3		20
239865	2		21
248698	2	D56	22
330923	3		23
113788	1	A6	24
349909	3		25
347077	3		26
2631	3		27
19950	1	C23 C25 C27	28
330959	3		29
349216	3		30
PC 17601	1		31
PC 17569	1	B78	32
335677	3		33
C.A. 24579	2		34
PC 17604	1		35
113789	1		36
2677	3		37
A./5. 2152	3		38
345764	3		39
2651	3		40
7546	3		41
11668	2		42
349253	3		43
SC/Paris 2123	2		44
330958	3		45
S.C./A.4. 23567	3		46
370371	3		47
14311	3		48
2662	3		49
349237	3		50
3101295	3		51
A/4. 39886	3		52
PC 17572	1	D33	53
2926	2		54
113509	1	B30	55
19947	1	C52	56
C.A. 31026	2		57
2697	3		58
C.A. 34651	2		59
CA 2144	3		60
2669	3		61
113572	1	B28	62
36973	1	C83	63
347088	3		64
PC 17605	1		65
2661	3		66
C.A. 29395	2	F33	67
S.P. 3464	3		68
3101281	3		69
315151	3		70
C.A. 33111	2		71
CA 2144	3		72
S.O.C. 14879	2		73
2680	3		74
1601	3		75
348123	3	F G73	76
349208	3		77
374746	3		78
248738	2		79
364516	3		80
345767	3		81
345779	3		82
330932	3		83
113059	1		84
SO/C 14885	2		85
3101278	3		86
W./C. 6608	3		87
SOTON/OQ 392086	3		88
19950	1	C23 C25 C27	89
343275	3		90
343276	3		91
347466	3		92
W.E.P. 5734	1	E31	93
C.A. 2315	3		94
364500	3		95
374910	3		96
PC 17754	1	A5	97
PC 17759	1	D10 D12	98
231919	2		99
244367	2		100
349245	3		101
349215	3		102
35281	1	D26	103
7540	3		104
3101276	3		105
349207	3		106
343120	3		107
312991	3		108
349249	3		109
371110	3		110
110465	1	C110	111
2665	3		112
324669	3		113
4136	3		114
2627	3		115
STON/O 2. 3101294	3		116
370369	3		117
11668	2		118
PC 17558	1	B58 B60	119
347082	3		120
S.O.C. 14879	2		121
A4. 54510	3		122
237736	2		123
27267	2	E101	124
35281	1	D26	125
2651	3		126
370372	3		127
C 17369	3		128
2668	3	F E69	129
347061	3		130
349241	3		131
SOTON/O.Q. 3101307	3		132
A/5. 3337	3		133
228414	2		134
C.A. 29178	2		135
SC/PARIS 2133	2		136
11752	1	D47	137
113803	1	C123	138
7534	3		139
PC 17593	1	B86	140
2678	3		141
347081	3		142
STON/O2. 3101279	3		143
365222	3		144
231945	2		145
C.A. 33112	2		146
350043	3		147
W./C. 6608	3		148
230080	2	F2	149
244310	2		150
S.O.P. 1166	2		151
113776	1	C2	152
A.5. 11206	3		153
A/5. 851	3		154
Fa 265302	3		155
PC 17597	1		156
35851	3		157
SOTON/OQ 392090	3		158
315037	3		159
CA. 2343	3		160
371362	3		161
C.A. 33595	2		162
347068	3		163
315093	3		164
3101295	3		165
363291	3		166
113505	1	E33	167
347088	3		168
PC 17318	1		169
1601	3		170
111240	1	B19	171
382652	3		172
347742	3		173
STON/O 2. 3101280	3		174
17764	1	A7	175
350404	3		176
4133	3		177
PC 17595	1	C49	178
250653	2		179
LINE	3		180
CA. 2343	3		181
SC/PARIS 2131	2		182
347077	3		183
230136	2	F4	184
315153	3		185
113767	1	A32	186
370365	3		187
111428	1		188
364849	3		189
349247	3		190
234604	2		191
28424	2		192
350046	3		193
230080	2	F2	194
PC 17610	1	B4	195
PC 17569	1	B80	196
368703	3		197
4579	3		198
370370	3		199
248747	2		200
345770	3		201
CA. 2343	3		202
3101264	3		203
2628	3		204
A/5 3540	3		205
347054	3	G6	206
3101278	3		207
2699	3		208
367231	3		209
112277	1	A31	210
SOTON/O.Q. 3101311	3		211
F.C.C. 13528	2		212
A/5 21174	3		213
250646	2		214
367229	3		215
35273	1	D36	216
STON/O2. 3101283	3		217
243847	2		218
11813	1	D15	219
W/C 14208	2		220
SOTON/OQ 392089	3		221
220367	2		222
21440	3		223
349234	3		224
19943	1	C93	225
PP 4348	3		226
SW/PP 751	2		227
A/5 21173	3		228
236171	2		229
4133	3		230
36973	1	C83	231
347067	3		232
237442	2		233
347077	3		234
C.A. 29566	2		235
W./C. 6609	3		236
26707	2		237
C.A. 31921	2		238
28665	2		239
SCO/W 1585	2		240
2665	3		241
367230	3		242
W./C. 14263	2		243
STON/O 2. 3101275	3		244
2694	3		245
19928	1	C78	246
347071	3		247
250649	2		248
11751	1	D35	249
244252	2		250
362316	3		251
347054	3	G6	252
113514	1	C87	253
A/5. 3336	3		254
370129	3		255
2650	3		256
PC 17585	1		257
110152	1	B77	258
PC 17755	1		259
230433	2		260
384461	3		261
347077	3		262
110413	1	E67	263
112059	1	B94	264
382649	3		265
C.A. 17248	2		266
3101295	3		267
347083	3		268
PC 17582	1	C125	269
PC 17760	1	C99	270
113798	1		271
LINE	3		272
250644	2		273
PC 17596	1	C118	274
370375	3		275
13502	1	D7	276
347073	3		277
239853	2		278
382652	3		279
C.A. 2673	3		280
336439	3		281
347464	3		282
345778	3		283
A/5. 10482	3		284
113056	1	A19	285
349239	3		286
345774	3		287
349206	3		288
237798	2		289
370373	3		290
19877	1		291
11967	1	B49	292
SC/Paris 2163	2	D	293
349236	3		294
349233	3		295
PC 17612	1		296
2693	3		297
113781	1	C22 C26	298
19988	1	C106	299
PC 17558	1	B58 B60	300
9234	3		301
367226	3		302
LINE	3		303
226593	2	E101	304
A/5 2466	3		305
113781	1	C22 C26	306
17421	1		307
PC 17758	1	C65	308
P/PP 3381	2		309
PC 17485	1	E36	310
11767	1	C54	311
PC 17608	1	B57 B59 B63 B66	312
250651	2		313
349243	3		314
F.C.C. 13529	2		315
347470	3		316
244367	2		317
29011	2		318
36928	1	C7	319
16966	1	E34	320
A/5 21172	3		321
349219	3		322
234818	2		323
248738	2		324
CA. 2343	3		325
PC 17760	1	C32	326
345364	3		327
28551	2	D	328
363291	3		329
111361	1	B18	330
367226	3		331
113043	1	C124	332
PC 17582	1	C91	333
345764	3		334
PC 17611	1		335
349225	3		336
113776	1	C2	337
16966	1	E40	338
7598	3		339
113784	1	T	340
230080	2	F2	341
19950	1	C23 C25 C27	342
248740	2		343
244361	2		344
229236	2		345
248733	2	F33	346
31418	2		347
386525	3		348
C.A. 37671	3		349
315088	3		350
7267	3		351
113510	1	C128	352
2695	3		353
349237	3		354
2647	3		355
345783	3		356
113505	1	E33	357
237671	2		358
330931	3		359
330980	3		360
347088	3		361
SC/PARIS 2167	2		362
2691	3		363
SOTON/O.Q. 3101310	3		364
370365	3		365
C 7076	3		366
110813	1	D37	367
2626	3		368
14313	3		369
PC 17477	1	B35	370
11765	1	E50	371
3101267	3		372
323951	3		373
PC 17760	1		374
349909	3		375
PC 17604	1		376
C 7077	3		377
113503	1	C82	378
2648	3		379
347069	3		380
PC 17757	1		381
2653	3		382
STON/O 2. 3101293	3		383
113789	1		384
349227	3		385
S.O.C. 14879	2		386
CA 2144	3		387
27849	2		388
367655	3		389
SC 1748	2		390
113760	1	B96 B98	391
350034	3		392
3101277	3		393
35273	1	D36	394
PP 9549	3	G6	395
350052	3		396
350407	3		397
28403	2		398
244278	2		399
240929	2		400
STON/O 2. 3101289	3		401
341826	3		402
4137	3		403
STON/O2. 3101279	3		404
315096	3		405
28664	2		406
347064	3		407
29106	2		408
312992	3		409
4133	3		410
349222	3		411
394140	3		412
19928	1	C78	413
239853	2		414
STON/O 2. 3101269	3		415
343095	3		416
28220	2		417
250652	2		418
28228	2		419
345773	3		420
349254	3		421
A/5. 13032	3		422
315082	3		423
347080	3		424
370129	3		425
A/4. 34244	3		426
2003	2		427
250655	2		428
364851	3		429
SOTON/O.Q. 392078	3	E10	430
110564	1	C52	431
376564	3		432
SC/AH 3085	2		433
STON/O 2. 3101274	3		434
13507	1	E44	435
113760	1	B96 B98	436
W./C. 6608	3		437
29106	2		438
19950	1	C23 C25 C27	439
C.A. 18723	2		440
F.C.C. 13529	2		441
345769	3		442
347076	3		443
230434	2		444
65306	3		445
33638	1	A34	446
250644	2		447
113794	1		448
2666	3		449
113786	1	C104	450
C.A. 34651	2		451
65303	3		452
113051	1	C111	453
17453	1	C92	454
A/5 2817	3		455
349240	3		456
13509	1	E38	457
17464	1	D21	458
F.C.C. 13531	2		459
371060	3		460
19952	1	E12	461
364506	3		462
111320	1	E63	463
234360	2		464
A/S 2816	3		465
SOTON/O.Q. 3101306	3		466
239853	2		467
113792	1		468
36209	3		469
2666	3		470
323592	3		471
315089	3		472
C.A. 34651	2		473
SC/AH Basle 541	2	D	474
7553	3		475
110465	1	A14	476
31027	2		477
3460	3		478
350060	3		479
3101298	3		480
CA 2144	3		481
239854	2		482
A/5 3594	3		483
4134	3		484
11967	1	B49	485
4133	3		486
19943	1	C93	487
11771	1	B37	488
A.5. 18509	3		489
C.A. 37671	3		490
65304	3		491
SOTON/OQ 3101317	3		492
113787	1	C30	493
PC 17609	1		494
A/4 45380	3		495
2627	3		496
36947	1	D20	497
C.A. 6212	3		498
113781	1	C22 C26	499
350035	3		500
315086	3		501
364846	3		502
330909	3		503
4135	3		504
110152	1	B79	505
PC 17758	1	C65	506
26360	2		507
111427	1		508
C 4001	3		509
1601	3		510
382651	3		511
SOTON/OQ 3101316	3		512
PC 17473	1	E25	513
PC 17603	1		514
349209	3		515
36967	1	D46	516
C.A. 34260	2	F33	517
371110	3		518
226875	2		519
349242	3		520
12749	1	B73	521
349252	3		522
2624	3		523
111361	1	B18	524
2700	3		525
367232	3		526
